gene,SRR5292044,SRR5292039,SRR5292051,SRR5292041,SRR5292047,SRR5292053,SRR5292052,SRR5292042,SRR5292046,SRR5292049,SRR5292045,SRR5292050,SRR5292043,SRR5292040,SRR5292054,SRR5292048
ENSMUSG00000000555,161.21492262025666,77.0778041323971,40.909125577841394,76.41103043885178,106.04010943574939,46.60912293210906,44.49910768113524,132.39699736374038,65.04455129396419,81.41760708949133,80.59910607592977,45.49141090452292,134.19715770188813,83.13198328280414,55.350905409362156,97.97986097036656
ENSMUSG00000000561,11.812894445757333,9.119635020046983,6.517725092062867,7.053325886663242,9.131231645856197,6.971203800723357,6.1634989330035115,10.837407696895529,9.876894901780778,9.855226167641316,7.813806466903115,7.073731454322599,11.038612024573915,5.916437444963548,10.760886150597765,10.447576335514224
ENSMUSG00000000563,66.58742079687424,69.17412044835638,53.320538253152606,58.441843060924,61.4443523008259,54.55975206020677,53.37183691436008,65.86735566890948,65.30446958085318,62.54708880258721,65.09454521246847,58.23632361101795,56.46452328800374,57.59470737240026,65.91848222791326,62.46892793359282
ENSMUSG00000000568,50.48458047344713,45.66572795223527,60.94766336088574,58.60977939155884,60.44286237837715,80.14003708104289,69.22083417065483,71.94834554327865,55.94741125285033,61.763150357433936,37.83851163106627,74.27418027038728,63.919920938108646,57.23247650842289,63.01884224721326,68.31524007989094
ENSMUSG00000000581,13.118530147656829,19.32011567209954,13.590150191960872,16.23384529470111,16.789683993993652,14.979446183372504,13.207497713578952,16.978605391802994,17.414525221560847,16.350716141768547,18.08865434070485,13.659619360071225,13.697125915308995,13.583657399151003,17.720022104277756,18.83811691584948
ENSMUSG00000000594,14.98372400751325,34.38440166817715,29.052412910365334,29.220921530462,25.213981576944853,32.32103580335375,32.71395587517248,26.069986293087577,33.85435686728807,24.526074212652823,27.748241862781928,33.78316573874758,17.280340289778014,25.05430142510074,38.46855707728662,27.661717655169785
ENSMUSG00000000600,44.20509447859718,41.61255683221439,25.100175354539978,34.874777995168245,35.2288808014323,29.958892366745008,37.251916628043205,37.629887836442805,27.746277125397317,29.733665312599655,34.27000159106327,27.31923872014245,41.20696530639372,39.54353598419514,35.95553576067995,36.972511073348265
ENSMUSG00000000605,23.439269505529026,19.995644192103015,22.46535031732307,35.15467187955965,32.283322205994814,28.460947748407758,22.283419219320386,33.2949247576846,30.08554170739803,21.33432482881444,20.734273853120865,26.892375615140224,27.914395852718332,23.72612159051709,24.679158057957746,26.200139618595255
ENSMUSG00000000631,32.88958506213489,32.087604700165315,27.80433789273627,43.047679419397085,41.826932055212254,39.86837214959144,35.626378447910405,51.89914130402192,32.619745004565466,35.78119046092501,34.023897450373404,37.868855458054604,27.04748914921776,34.95527837381525,35.44004420855551,37.29730619258705
ENSMUSG00000000693,6.030793480202428,6.4175209400330635,9.42990013319734,15.394163641526916,11.605500866023682,8.123468891752012,9.346844535763568,14.148837826502495,12.735996057559424,15.958746919191904,10.21332183862927,12.196088714349308,19.187535037479268,5.554206580986188,9.858775934379986,17.430671399148085
ENSMUSG00000000708,51.10631176006594,46.47636217623945,45.48540064248128,56.53856464706249,53.13787706169219,50.75727725981221,50.45941434162216,45.21607322426967,35.9337031623998,35.55720804802407,39.438188545550375,49.69906151097343,51.37867062746707,58.56065634300655,40.78826906184662,34.96960783804243
ENSMUSG00000000711,61.80008988990942,91.12879734846949,67.95075095980437,83.46435632551501,69.45627168041584,82.0988877357916,77.28079431381326,72.73104721027666,84.53842281063679,36.78911131897923,77.64585638765143,90.61693914761537,65.07579654277608,76.37034048856007,91.56418694610433,74.81114246466662
ENSMUSG00000000732,13.429395790966232,5.404228160027842,9.013875127320986,9.348455738672708,9.897076880669943,12.502076237660896,12.05607483598489,11.13844679958707,6.62791631566868,6.215511958001057,5.660395235866823,12.379030045064548,10.923024464107172,6.822014604906948,9.923212378395544,10.06864869640231
ENSMUSG00000000738,9.077276784634583,11.551537692059513,10.608637649847008,15.114269757135517,13.372836023286172,15.209899201578235,12.462459381018089,15.11216295511543,12.60603691411494,8.679318499911387,13.228097562080077,14.696286900790916,10.28729288154009,12.013990321915776,16.10911100388887,13.045937289424499
