,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
74,Fap,-0.506712627363757,0.546106843987495,0.8613411458387158,-0.1720429557466854,0.6103485045372077,0.9197657824264512,0.3624692166901364,0.1679789395566893,0.9999543473702648
75,Gcg,3.2024910248244995,0.3981159714326339,,,,,,,
76,Ndufa9,-0.1187889784837866,0.5271252665409943,0.8524125452061165,0.2141406283045782,0.3131079603105361,0.7987068608654831,0.0685442282736269,0.6870630716425654,0.9999543473702648
77,Egfl6,-1.0984768699660836,0.6851596186560797,,-0.7263847876965988,0.8843568514279219,,,,
78,Lck,0.373797931997727,0.6310751261927181,0.8945187433632147,-0.4820061058006467,0.6625021014071986,,-0.1923258098190869,0.8375132062428747,0.9999543473702648
79,Tssk3,-0.1291623636876664,0.9008945028008162,,-1.159739389915174,0.235411912774096,0.7301208095991397,0.0683800317141621,0.9337664757902602,0.9999543473702648
80,Cttnbp2,0.0961258969583183,0.6191023625849523,0.8885724536584744,-0.5430657832127279,0.0318793455987768,0.3364895277801369,-0.2602226380835936,0.1084011734671597,0.9999543473702648
81,Galnt1,-1.1588030963241978,1.0259903537422516e-06,7.813392518653621e-05,-0.1833451269353486,0.3535144194605314,0.82220158170984,-0.1089868062758383,0.40923433504824,0.9999543473702648
82,Myf5,-0.950470561053366,0.8299662066911748,,1.6777352020640235,0.7276026624231642,,1.568437185081217,0.7452138656914743,0.9999543473702648
83,Mkrn2,-0.0046014058523506,0.9805573067149272,0.997448936124605,0.1690077068459747,0.4688272763137759,0.8761710390215665,0.2393072213966463,0.1940171600135327,0.9999543473702648
84,Pparg,1.9836942702750893,0.0015824285511141,0.0276672182416102,0.4974794326903271,0.651985848493706,,-1.0347630239349508,0.5543062093376061,0.9999543473702648
85,Raf1,0.0987472882354406,0.5469560229315709,0.8617605079226861,0.0511661630361733,0.7908033701969324,0.966698010874354,0.0280988741457784,0.8388509880998959,0.9999543473702648
86,Septin1,0.3446085423304934,0.2657603011400088,0.6715140566174945,0.7249458674504425,0.0922776941543797,0.5358232138412063,0.2237435376480952,0.6284631894939496,0.9999543473702648
87,Pdgfb,0.3615931665218129,0.0549694455473636,0.3125572296092763,0.1197425444436677,0.5566606766833718,0.904441178144019,-0.2241731181137374,0.1095783008957595,0.9999543473702648
88,Acvrl1,0.1139187152359378,0.4890593413849242,0.8339387734868101,0.5052332482746688,0.0064700673062896,0.1321975010875327,0.023155208651044,0.8524680922804155,0.9999543473702648
89,Tamalin,0.7366465355240556,0.0053400530244897,0.0675263843622949,0.4650208953698905,0.0377618036466997,0.3638932648249584,0.1246445582557522,0.4566491861130979,0.9999543473702648
90,Acvr1b,-0.1707292650240618,0.6330244917508709,0.8948995647193027,-0.5480576547847903,0.314101662900068,0.79984507465698,0.1702451640881307,0.6345606135315195,0.9999543473702648
91,Tom1l2,0.2502980896155836,0.1949253656043311,0.5941463485534121,0.0378657183065041,0.8469467939311084,0.977498833932445,-0.1342068774412723,0.3075195226277361,0.9999543473702648
92,Gpa33,1.7620848943576528,0.5994738988922005,,,,,,,
93,Zfp385a,-0.1683873751272777,0.6485378033623221,0.8999077572825086,-0.1402306958215941,0.6897918253352116,0.943181327591051,0.4980956631000803,0.0762749518176566,0.9999543473702648
94,Itga5,-0.8750241897099212,4.0473175843379953e-07,3.713979502547176e-05,-0.2886264320683945,0.1606914761333481,0.6531835767479361,-0.0225643460942712,0.8798183471870913,0.9999543473702648
95,Gabra2,2.119096589828054,0.4563600450843333,,-0.2629259187903542,0.9279147025193908,,1.0230339828391517,0.6139460867553002,0.9999543473702648
96,Wdr77,-0.5710715219850755,0.0192841889670357,0.163550291503436,-0.0483332084757795,0.8548317508088779,0.9790401219922416,-0.0589576378987775,0.8112835912315429,0.9999543473702648
97,Adora3,-0.6042375731155902,0.6301132615928362,,-0.6179564688926018,0.7216873827127953,,-4.323102053535001,0.01660233864237,0.9999543473702648
98,Atp5pb,-0.0295882226040256,0.8591710141770118,0.9654541643620496,0.1575999264628104,0.410345137129005,0.8527024026431471,0.0848780627637735,0.5471078978602166,0.9999543473702648
99,Sox9,0.968005153964012,0.0025558414179688,0.0395392681770386,0.2568852473236417,0.4167874958883033,0.856147705586539,0.2715802572790555,0.2809332102216214,0.9999543473702648
100,Hnrnpd,-0.2134564515421278,0.2682369980774471,0.6744270608570805,-0.3553061482802261,0.1037472706509479,0.5571349897385415,0.0486037122222142,0.744443139688711,0.9999543473702648
101,Dynlt1c,0.1682178991144856,0.8859022582374878,,-1.9975855904205764,0.2942033128334586,,-1.1170240877338162,0.6973069305877755,0.9999543473702648
102,C1d,0.158730764888884,0.4506134234657667,0.8141503260335918,0.1915172850611217,0.3871981996248768,0.8406914526967736,-0.1086437950432139,0.5638608873018729,0.9999543473702648
