gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
ENSMUSG00000000740,-0.12115396366770215,0.45453425843166206,0.7734507544727216,-0.04957110721225818,0.8443096751870411,0.9673026228321006,0.05954106349432514,0.6395305020013726,0.9999068176988547
ENSMUSG00000000743,0.27511034932430944,0.15759504547567516,0.48021714089089573,-0.013951637036918964,0.9469511844005338,0.9914517343716857,-0.18078444689631967,0.3300060824508665,0.9999068176988547
ENSMUSG00000000751,0.09165866909439892,0.6991229917624264,0.8984871206828208,-0.10320192080906351,0.6153685165058245,0.8879085481721779,0.019806078999318646,0.9057533252402213,0.9999068176988547
ENSMUSG00000000759,0.17741949454184053,0.30565103933781024,0.6588779917223713,-0.07269749934382988,0.7029779933860107,0.9200478867220669,0.17487922332840145,0.23233127853082758,0.9999068176988547
ENSMUSG00000000782,0.39298517190110605,0.0698267922306168,0.3138224647399956,0.2417413432622632,0.29875579242705086,0.7100156874434461,0.10787988149160085,0.43806191745468226,0.9999068176988547
ENSMUSG00000000787,-0.05895476289129547,0.7303164052219919,0.9097156892190723,0.1656912919665919,0.3967563180163748,0.781788588616796,-0.055200808464642016,0.7268875281691425,0.9999068176988547
ENSMUSG00000000804,0.07422087007904837,0.6845445352485033,0.8929403129558858,0.1269331982101206,0.5436193307860064,0.8581995083535074,-0.11346880740994837,0.39384981673953634,0.9999068176988547
ENSMUSG00000000805,1.0466047465121722,4.3336751854232096e-07,4.744772428707106e-05,-0.677313198058477,0.00025283333829208987,0.018615757507963304,0.07668886099383054,0.6151870505438624,0.9999068176988547
ENSMUSG00000000811,-0.14327794235244687,0.5647153191319654,0.8414862269011867,0.03432261572773061,0.8665315846624522,0.9748497562668783,0.229443545623082,0.24623755728708585,0.9999068176988547
ENSMUSG00000000823,0.3932478596059624,0.08614297145852173,0.3518416029895751,0.36523556766637544,0.0671896620867344,0.4189058690262448,0.07414166131625353,0.6273807364869336,0.9999068176988547
ENSMUSG00000000826,-0.051936533661116564,0.7622543840730949,0.9210678664253367,0.3254147990131276,0.08597363434837767,0.4577563134623332,0.10507221029269324,0.43000740708653784,0.9999068176988547
