,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
6456,Prrg1,0.2995544068405226,0.1213165847697213,0.4190791576422934,-0.3165650833309914,0.1842977446347828,0.6081117643070877,-0.1879698988097421,0.186367677685738,0.9999068176988548
6457,Gigyf2,-0.0113554251213791,0.9434482486724468,0.9830699491273552,0.1632225356840372,0.3810592719065617,0.7734232688657466,-0.1254113710155184,0.358453470838175,0.9999068176988548
6458,Rgmb,0.1678899013932531,0.4690060147054701,0.7847960972029762,0.2028413412192158,0.3534918190996474,0.7566423081805885,-0.0216681027823245,0.894982747008134,0.9999068176988548
6459,Isg20l2,-0.1356990441142494,0.4112556768710204,0.7430503095975828,0.1607958794314745,0.4320276780348663,0.8031803121626605,0.0269575286974657,0.8606081673319307,0.9999068176988548
6460,Zbtb33,0.0052968560762957,0.9748576815722152,0.991473964899927,0.1247467613852399,0.5571120145582302,0.8620092498027424,-0.1598319222707329,0.2962808355084059,0.9999068176988548
6461,Ldlrad3,0.2984578806498995,0.0985086729869042,0.3745990685748993,0.0481096073918006,0.8258061909560754,0.9614600367136076,-0.112165584856098,0.3905860811777453,0.9999068176988548
6462,Arf1,-0.225324854953933,0.1649958631614864,0.4906308522451895,-0.5726677649549397,0.008798527875629,0.1627306674796361,0.1887615739594968,0.1402957524341162,0.9999068176988548
6463,Taf13,-0.2351279980119443,0.1813598493548806,0.5172430146398421,-0.2379677801463403,0.2447666849619402,0.6731387004613166,0.0422000496616549,0.7946107212423896,0.9999068176988548
6464,Rbm15,-0.1330183549308293,0.430039864973054,0.755348541796476,0.246473190038956,0.2416872401293629,0.6704284368281682,0.1649690905746668,0.3164935556270042,0.9999068176988548
6465,Arid4a,0.0671081294093089,0.697912563132902,0.8979345087606767,0.4347629857875882,0.0207720048675739,0.2498797518922494,-0.1906638317593675,0.3236532473561168,0.9999068176988548
6466,Entpd1,0.1194594135869332,0.5442425077571666,0.8304807759678173,0.06805869522426,0.7548148005383182,0.9428918801810012,-0.0969156548363833,0.4434833264644279,0.9999068176988548
6467,Kmt2d,0.1151187710150407,0.6188700824787854,0.8654738829304286,0.5491730256831132,0.0109309947783159,0.1830938679968542,0.0476261520522142,0.8138644694806281,0.9999068176988548
6468,Mcmbp,-0.093126801852176,0.5531110521478021,0.8338447932838255,-0.0758166183565961,0.6961289123908241,0.9164188743125284,-0.0737540529273949,0.6218827681287666,0.9999068176988548
6469,Asb8,0.2678321869006577,0.1449244568880957,0.4588110416260478,-0.2967776163967083,0.1351248278862275,0.5425672953477929,-0.31635123483187,0.0825574051645811,0.9999068176988548
6470,Bend7,0.2606637656087835,0.180706478080501,0.5163135798146391,0.1596682270598339,0.4803678076622472,,0.1479937599315446,0.4700877283444959,0.9999068176988548
6471,Cracr2b,0.5032031025851152,0.0090518033136792,0.0879844211118785,-0.3667419867282547,0.0685458938633037,0.4236037613566755,-0.0135433320301379,0.9341241570347744,0.9999068176988548
6472,Mfap1b,0.0866450175578839,0.626969470073862,0.8666316557236986,-0.0421585042702394,0.8332697202062739,0.9620365664399724,-0.1781016690553664,0.2189228728825946,0.9999068176988548
6473,Fbxo10,0.550180020701594,0.0026485003336232,0.0387349315954591,0.1090064553258821,0.5892336910758396,0.8786727754375223,0.1440867560316137,0.3509646374362654,0.9999068176988548
6474,Crebrf,0.2909530390898676,0.1898021600734746,0.5326487817227484,-0.2384698943081726,0.3556709684974634,0.7566423081805885,-0.0773920325028091,0.5459025513708582,0.9999068176988548
6475,Dip2c,0.033559178422519,0.8656041126086911,0.9592971045413066,0.3869911004377582,0.059760097504992,0.3975949344329547,0.0370330103438285,0.8187435463288169,0.9999068176988548
6476,Rbm33,0.2829094474250615,0.1519412399741541,0.4704449311532825,0.3160180628253445,0.1227912990151599,0.5240616252268763,0.126735629972995,0.4100196971993733,0.9999068176988548
6477,Syngr2,0.1145729737691244,0.5404850103371659,0.8289531980434912,-0.2555888722439232,0.192748191620199,0.6160943430282795,0.071739496783022,0.6237332878408659,0.9999068176988548
6478,Sacs,-0.5596748593887073,0.0312217205760095,0.1950244241685286,0.091819976437472,0.7104879209186017,0.9240885122176496,-0.1545225141681293,0.3185007728586488,0.9999068176988548
6479,Zfp738,0.3904900880050855,0.0992509664667717,0.3761516195469046,-0.1065167704348439,0.6487251740878008,0.8989827365457448,0.0239135275517885,0.9062899185938424,0.9999068176988548
6480,Frmd6,-0.2252068632175932,0.2460378779716346,0.6014180045289573,0.3607140458639236,0.1149230252984245,0.5138634520428687,0.028168651276632,0.8489762508000612,0.9999068176988548
6481,Ankrd46,0.273107935675746,0.1019440171335681,0.380864780599013,-0.111485033809765,0.6213804090535999,0.8895747252483527,-0.0963016588785613,0.5829586212987393,0.9999068176988548
6482,Pskh1,0.2451054070600627,0.2301131628308773,0.5835739454988039,0.2230214171148254,0.3647755164487004,0.7613605609246498,0.0385566343672066,0.8216605987709747,0.9999068176988548
6483,F2r,-0.4592396724678489,0.4184607390866699,0.7476628209779194,-0.5018777127718927,0.0260972623049005,0.2756255940972488,0.3852309342119108,0.0348120546197365,0.9999068176988548
