,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj
253,Slc19a1,-0.0226126224899879,0.983674175525882,0.9974471345174076
254,Kpnb1,-0.4071181521607014,0.0108489451936383,0.128907551564503
255,Npepps,0.0047235198150456,0.9816033948520088,0.9972496389794314
256,Tbx21,1.9298980292587231,0.4976719501479738,
257,Mrpl10,0.0581035372844962,0.8425473405792185,0.9707309409140504
258,Cyp51,-0.2312356853598558,0.1685656321610618,0.6008917476718081
259,Tcf25,0.0844342405107567,0.6041074294008026,0.9048400811056244
260,Tubb6,-2.159809852520368,1.377744191624622e-13,9.23148510309872e-11
261,Def8,0.1596171887898011,0.5695360551592801,0.8932650586491423
262,Meox1,-1.2002162525741458,1.4581736480874904e-06,0.0001291489315556
263,Sost,-0.3930993919643094,0.7840108475559048,
264,Nkx2-1,,,
265,Pax9,-0.9599977791574656,0.8282856423440548,
266,Irx2,,,
267,Col1a1,-1.8656676798188505,5.490175004446878e-07,5.835109447829712e-05
268,Itga3,-0.3533369918638215,0.0766449541543569,0.4140944589246947
269,Sgca,1.0690233577861716,0.2586859953274648,
270,Dlx3,1.8577980379035988,0.6674218858687067,
271,Foxm1,0.0377452697851708,0.8802809173727943,0.9777123277025104
272,Itfg2,-0.0824479263800786,0.7279395703287044,0.9411305971758108
273,Nrip2,0.2279790949873708,0.4749148969984572,0.8539620315161932
274,Tulp3,-0.3834632101176873,0.0805163997041137,0.4239283347591719
275,Gtf2h4,0.3481054209949832,0.4590940147956184,0.8467711937993864
276,Tubb5,-0.2720763451179137,0.0849103606043137,0.4364755060950897
277,Ell2,-0.158091306158138,0.5180857489991717,0.8732208621275697
278,Jup,0.0570651049772949,0.7386835808716943,0.94530299211825
279,Fkbp10,-0.9858319353639006,5.893267294120192e-06,0.0003931651180505
280,Klhl10,0.0175148644591675,0.9374661953294324,0.9878025554290942
281,Mnx1,0.0017912204719014,0.9996608110780904,
282,Nom1,0.2864936281676127,0.156095177011157,0.5820427710909609
283,Ergic1,0.0897341798326182,0.6320287826043727,0.9136286998139
284,Tnk1,0.8372841612026015,0.3691124563847477,
285,Acap1,0.971427456917362,0.0595396855740536,0.3628288446598113
286,Tcea3,0.7825780361377694,0.2575773312344599,0.7083201619999628
287,Csn3,0.9635763729606592,0.8276551787794901,
288,Ifrd1,-0.0258734762515748,0.9058549065448492,0.9817940758676892
289,Stk38l,-0.069547642382695,0.7374539078966627,0.9445661618540244
290,Brpf1,-0.107668084560898,0.537128595269434,0.8811096264452232
291,Akr1b1,-0.0070176667213509,0.9900442540288656,0.9982455515659228
292,Hoxc13,,,
293,Hoxc11,,,
294,Hoxc8,,,
295,Hoxc6,,,
296,Gstt1,0.37152269596247,0.4460717154800048,0.8414004312685087
297,Gstt3,0.5173444386531144,0.092191750508836,0.454236210374373
298,Ddt,0.6577879962850341,0.1314049793279546,0.5392446092598757
299,Tat,-0.9599977791574664,0.8282856423440546,
300,Marveld3,-2.5167787110859288,0.5561383711150993,
301,Ddx18,0.1625679687521455,0.6525474697420768,0.920110406424246
302,Ubl3,0.0667242992178579,0.6631886027238421,0.9226815213905196
303,Gramd2b,-0.3286974999797841,0.1876409644810375,0.6279485027378061
304,Eef1e1,-1.1110128918253963,0.001387863942609,0.0295012016821353
305,Akt1,-0.1017357024597856,0.5181189775676138,0.8732208621275697
306,Cldn15,0.2695758362944817,0.5946544661398325,0.9007489657638056
307,Il16,0.1445843594321131,0.7042398414080517,0.9342778720978604
308,Tcirg1,0.4002494640247035,0.1323112213447319,0.5406571881843517
309,Naglu,0.1403229957050522,0.5698904715228322,0.8932650586491423
310,Coasy,0.3037129659693892,0.2015041761513925,0.6476289590550802
311,Smo,0.2544156858452952,0.3620107027640857,0.7904698052561248
312,Tspan33,-0.0424057610945135,0.9485231611523316,0.990224253930266
313,Crnkl1,0.2875980091145962,0.1516626915039918,0.5732827419102325
314,Rin2,0.477562532928664,0.0100415092606737,0.1212771937431376
315,Folh1,,,
316,Chordc1,0.0928901200208708,0.734230875923889,0.943365989634362
317,Rtcb,-0.1214257375050319,0.53299058512932,0.8799997758118652
318,Pwp1,-0.4217580050992528,0.0368681816397211,0.2771028512451651
319,Fbxo7,0.4502265216882423,0.0158769278518982,0.1669026842603025
320,Capns1,-0.0749098679412104,0.6147811278622075,0.9092931138289004
321,Lrp3,-1.501514632862329,0.0677851517441193,0.3908106896852315
322,Dsg4,,,
323,Evx2,,,
324,Hoxd13,,,
325,Hoxd12,,,
326,Folr1,-0.8040011072835971,0.6578537352478314,
327,Clpb,-0.0485934242928249,0.8455106872589725,0.9718800242946272
